"parent_industry","industry","company_id"
Banking,Banking and Financial Services,76057
Telecommunications,Communications Services,76057
Education,Education,76059
Discrete Manufacturing,Discrete Manufacturing,76062
Banking,Banking and Financial Services,76062
Discrete Manufacturing,Automotive,76062
Process Manufacturing,Process Manufacturing,76062
Transportation,Transportation,76062
Retail,Retail,76062
Discrete Manufacturing,Automotive,76063
Construction,Construction,76064
Banking,Banking and Financial Services,76065
Construction,Construction,76065
Banking,Banking and Financial Services,76068
Retail,Retail,76068
Banking,Banking and Financial Services,76069
Education,Education,76069
Education,Education,76073
Education,Education,76077
Education,Education,76078
Transportation,Transportation,76078
Construction,Construction,76079
Education,Education,76085
Education,Education,76087
Transportation,Transportation,76087
Banking,Banking and Financial Services,76088
Banking,Banking and Financial Services,76091
Education,Education,76091
Retail,Retail,76091
Education,Education,76094
Retail,Retail,76094
Media,Media,76105
Banking,Banking and Financial Services,76109
Education,Education,76109
Media,Media,76113
Retail,Retail,76113
Utilities,Utilities,76115
Retail,Retail,76115
Construction,Construction,76116
Retail,Other Retail,76124
Telecommunications,Communications Services,76124
Education,Education,76124
Banking,Banking and Financial Services,76125
Professional Services,Software and IT Services,76129
Education,Education,76129
Construction,Construction,76131
Construction,Construction,76140
Education,Education,76140
Transportation,Transportation,76140
Professional Services,Software and IT Services,76141
Utilities,Utilities,76148
Media,Media,76148
Banking,Banking and Financial Services,76148
Construction,Construction,76148
Federal/Central Government,Federal/Central Government,76148
Education,Education,76148
Banking,Banking and Financial Services,76149
Banking,Banking and Financial Services,76153
Discrete Manufacturing,Automotive,76153
Education,Education,76153
Retail,Retail,76153
Construction,Construction,76156
Transportation,Transportation,76156
Banking,Banking and Financial Services,76163
Transportation,Transportation,76163
Education,Education,76165
Banking,Banking and Financial Services,76167
Professional Services,Software and IT Services,76167
Education,Education,76167
Banking,Banking and Financial Services,76169
Education,Education,76169
Transportation,Transportation,76169
Banking,Banking and Financial Services,76182
Utilities,Utilities,76188
Banking,Banking and Financial Services,76188
Construction,Construction,76188
Construction,Construction,76192
Retail,Retail,76192
Transportation,Transportation,76193
Professional Services,Business Services,76194
Professional Services,Business Services,76201
Professional Services,Business Services,76202
Banking,Banking and Financial Services,76205
Construction,Construction,76205
Retail,Retail,76205
Construction,Construction,76207
Education,Education,76207
Discrete Manufacturing,Automotive,76209
Construction,Construction,76209
Education,Education,76209
Retail,Retail,76209
Banking,Banking and Financial Services,76214
Construction,Construction,76214
Construction,Construction,76234
Utilities,Utilities,76242
Banking,Banking and Financial Services,76242
Education,Education,76242
Transportation,Transportation,76242
Retail,Retail,76243
Construction,Construction,76245
Transportation,Transportation,76245
Education,Education,76249
Media,Media,76254
Discrete Manufacturing,Automotive,76254
Construction,Construction,76254
Media,Media,76255
Banking,Banking and Financial Services,76255
Education,Education,76255
Transportation,Transportation,76255
Retail,Retail,76255
Utilities,Utilities,76261
Discrete Manufacturing,Automotive,76261
Transportation,Transportation,76261
Retail,Retail,76261
Education,Education,76263
Education,Education,76267
Professional Services,Online Properties,76268
Utilities,Utilities,76273
Banking,Banking and Financial Services,76273
Utilities,Utilities,76274
Retail,Retail,76284
Media,Media,76289
Education,Education,76289
Utilities,Utilities,76296
Utilities,Utilities,76304
Construction,Construction,76306
Education,Education,76306
Utilities,Utilities,76307
